subject,message,label
Nepieciešama paroles maiņa,Drošības apsvērumu dēļ nepieciešams apstiprināt paroli.,phishing
Paziņojums par konta darbību,"Cienījamais klient!

Pēdējās konta darbības dēļ nepieciešama papildu pārbaude.

Pārbaude tiek veikta drošības nolūkos. Nepieciešams apstiprināt, ka konts joprojām pieder jums.

Ja pārbaude netiks veikta, piekļuve kontam var tikt ierobežota. Konta pārbaudi var pabeigt, izmantojot zemāk norādīto darbību.

Ar cieņu,
Konta drošības komanda.",phishing
Maksājuma apstiprināšana,"Sveiki, klient!

Ir konstatēta iespējama neatbilstība konta informācijā.

Pārbaude tiek veikta drošības nolūkos. Lai atjaunotu piekļuvi, nepieciešams apstiprināt konta statusu.

Ja pārbaude netiks veikta, piekļuve kontam var tikt ierobežota. Konta pārbaudi var pabeigt, izmantojot zemāk norādīto darbību.

Paldies, ka izmantojat mūsu pakalpojumus.",phishing
Darba grafiks,"Labdien!

Dokumenti būs pieejami arī klātienes tikšanās laikā. Nākamajā mēnesī tiks veiktas nelielas izmaiņas darba kārtībā. Lūdzu, iepazīstieties ar pievienotajiem dokumentiem. Mēs novērtējam jūsu atsauksmes un ieteikumus. Paldies, ka izmantojat mūsu pakalpojumus. Pielikumā nosūtām informāciju par plānoto pasākumu.

Paldies!
Klientu serviss.",normal
Bibliotēkas atgādinājums,"Sveiki, Jāni!

Sanāksmes laikā pārrunāsim aktuālos jautājumus. Pielikumā nosūtām informāciju par plānoto pasākumu. Informācija par darba grafiku ir pievienota šim ziņojumam. Pasākuma sākums paredzēts plkst. 10.00.

Veiksmīgu dienu!
Mūsu komanda.",normal
Nepieciešama tūlītēja darbība,"Labdien!

Automātiskā sistēma ir atzīmējusi jūsu kontu pārbaudei. Lūdzu, apstipriniet savu konta informāciju. Pretējā gadījumā dažas konta funkcijas var kļūt nepieejamas.

Konta pārbaudi var pabeigt, izmantojot zemāk norādīto darbību.

Paldies par sapratni.",phishing
Svarīgs drošības paziņojums,"Svarīgs paziņojums!

Automātiskā sistēma ir atzīmējusi jūsu kontu pārbaudei.

Pārbaude tiek veikta drošības nolūkos. Lai izvairītos no piekļuves ierobežošanas, apstipriniet konta datus.

Ja pārbaude netiks veikta, piekļuve kontam var tikt ierobežota. Pabeidziet pārbaudi, izmantojot drošības sadaļu.

Ar cieņu,
Atbalsta komanda.",phishing
Maksājuma apstiprināšana,"Cienījamais klient!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Automātiskās pārbaudes laikā tika konstatēta nepieciešamība atjaunināt informāciju.

Lai atjaunotu piekļuvi, nepieciešams apstiprināt konta statusu. Lai turpinātu, izmantojiet norādīto pārbaudes iespēju.

Ja darbība netiks apstiprināta, konta izmantošana var būt ierobežota.

Paldies par sadarbību.",phishing
Darījuma pārbaude,"Sveiki, klient!

Svarīga informācija par jūsu kontu.

Ir konstatēta darbība, kuru nepieciešams apstiprināt. Atbildēt uz šo ziņojumu nav nepieciešams.

Nepieciešams apstiprināt, ka konts joprojām pieder jums.
Lai atjaunotu piekļuvi, turpiniet ar konta pārbaudi.

Lūdzu, neatlieciet šo pārbaudi.

Paldies par sapratni.",phishing
Konta drošības brīdinājums,"Jūsu parole drīzumā zaudēs derīgumu. Lai saglabātu piekļuvi kontam, ievadiet pašreizējo paroli un izveidojiet jaunu.

Lai turpinātu, izmantojiet norādīto saiti:
https://t.me/earn_money_lv",phishing
