subject,message,label
Nepieciešams apstiprinājums,"Labdien!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Kontam ir nepieciešama papildu drošības pārbaude.

Lai turpinātu izmantot pakalpojumu, jāapstiprina jūsu informācija. Lai turpinātu, izmantojiet norādīto pārbaudes iespēju.

Lūdzu, neatlieciet šo pārbaudi.

Ar cieņu,
Klientu apkalpošanas nodaļa.",phishing
Drošības pārbaude,"Cienījamais lietotāj!

Svarīga informācija par jūsu kontu.

Ir konstatēta iespējama neatbilstība konta informācijā. Drošības pārbaude ir nepieciešama, lai aizsargātu jūsu kontu.

Veiciet norādīto pārbaudi, lai atjaunotu pilnu piekļuvi.
Lai turpinātu, izmantojiet norādīto pārbaudes iespēju.

Lūdzu, neatlieciet šo pārbaudi.

Ar cieņu,
Klientu apkalpošanas nodaļa.",phishing
Konta piekļuves problēma,"Svarīgs paziņojums!

Ir konstatēta darbība, kuru nepieciešams apstiprināt.

Paziņojums ir nosūtīts automātiski. Lai turpinātu izmantot kontu, nepieciešams veikt pārbaudi.

Šo darbību nepieciešams veikt pēc iespējas ātrāk. Pabeidziet pārbaudi, izmantojot drošības sadaļu.

Paldies par sapratni.",phishing
Jūsu konts ir ierobežots,"Labdien!

Pēdējās konta darbības dēļ nepieciešama papildu pārbaude. Lūdzu, pārbaudiet norādīto informāciju un apstipriniet darbību. Ja darbība netiks apstiprināta, konta izmantošana var būt ierobežota.

Izmantojiet konta pārbaudes iespēju, lai turpinātu.

Paldies, ka izmantojat mūsu pakalpojumus.",phishing
Jūsu konts ir ierobežots,"Sveiki, klient!

Ir konstatēta darbība, kuru nepieciešams apstiprināt.

Šī darbība ir saistīta ar jūsu konta drošību. Lai izvairītos no piekļuves ierobežošanas, apstipriniet konta datus.

Pārbaudes termiņš ir ierobežots. Konta pārbaudi var pabeigt, izmantojot zemāk norādīto darbību.

Ar cieņu,
Konta drošības komanda.",phishing
Svarīgs drošības paziņojums,"Cienījamais klient!

Svarīga informācija par jūsu kontu.

Sistēma nevarēja automātiski apstiprināt pēdējo darbību. Drošības pārbaude ir nepieciešama, lai aizsargātu jūsu kontu.

Lai turpinātu izmantot pakalpojumu, jāapstiprina jūsu informācija.
Konta pārbaudi var pabeigt, izmantojot zemāk norādīto darbību.

Pārbaudi ieteicams pabeigt tuvākajā laikā.

Ar cieņu,
Klientu apkalpošanas nodaļa.",phishing
Maksājuma apstiprināšana,"Svarīgs paziņojums!

Jūsu profils pašlaik gaida papildu pārbaudi.
Lūdzu, pabeidziet drošības pārbaudi.

Atbildēt uz šo ziņojumu nav nepieciešams.

Pārbaudi ieteicams pabeigt tuvākajā laikā. Lai turpinātu, izmantojiet norādīto pārbaudes iespēju.

Paldies par sadarbību.",phishing
Brīdinājums par kontu,"Labdien!

Jūsu profils pašlaik gaida papildu pārbaudi. Lai atjaunotu piekļuvi, nepieciešams apstiprināt konta statusu. Lūdzu, pievērsiet šim paziņojumam uzmanību.

Apstiprināšanas process ir pieejams konta pārbaudes sadaļā.

Paldies, ka izmantojat mūsu pakalpojumus.",phishing
Maksājuma apstiprināšana,"Labdien!

Jūsu konta drošības statuss ir jāapstiprina.

Šis ir automātiski nosūtīts paziņojums. Nepieciešams apstiprināt, ka konts joprojām pieder jums.

Pārbaudes termiņš ir ierobežots. Lai atjaunotu piekļuvi, turpiniet ar konta pārbaudi.

Paldies par sapratni.",phishing
Svarīgs drošības paziņojums,"Svarīgs paziņojums!

Vēlamies informēt par izmaiņām jūsu konta drošības statusā. Ir konstatēta iespējama neatbilstība konta informācijā.

Lai turpinātu izmantot pakalpojumu, jāapstiprina jūsu informācija. Konta pārbaudi var pabeigt, izmantojot zemāk norādīto darbību.

Ja darbība netiks apstiprināta, konta izmantošana var būt ierobežota.

Ar cieņu,
Konta drošības komanda.",phishing
